"All transactions for ktamas"
Date,Description,Currency,Amount,Type,Tags,Account,Status,kovacs.tamas.hun@gmail.com,"László Ratskó","Virág Zoltán"
2012-03-03,"From savings",HUF,"+ 100,000.00",Transfer,"From savings","Megtakarítás -> Pénztárca",Cleared,"Get 0.00",0.00,0.00
2012-02-29,Balance,HUF,"+ 17,730.00",Expense,Balance,Pénztárca,Cleared,"Get 0.00",0.00,0.00
2012-02-29,Kaja,HUF,"+ 9,885.00",Expense,Food,Pénztárca,Cleared,"Get 0.00",0.00,0.00
2012-02-27,Villanyszámla,HUF,"+ 4,700.00",Expense,Electricity,Pénztárca,Cleared,"Get 0.00",0.00,0.00
2012-02-26,"From savings",HUF,"+ 30,000.00",Transfer,"From savings","Megtakarítás -> Kézpénz",Cleared,"Get 0.00",0.00,0.00
2012-02-26,Tesco,HUF,"+ 4,330.00",Expense,Grocery,Pénztárca,Cleared,"Get 0.00",0.00,0.00
2012-02-26,Füzet,HUF,"+ 1,600.00",Expense,University,Pénztárca,Cleared,"Get 0.00",0.00,0.00
2012-02-25,"Zoli party",HUF,"+ 1,500.00",Expense,Party,Pénztárca,Cleared,"Get 0.00",0.00,0.00
2012-02-25,"Pizza Zoliéknál",HUF,"+ 1,800.00",Expense,Dinner,Pénztárca,Cleared,"Get 0.00",0.00,0.00
2012-02-22,Internet,HUF,"+ 6,120.00",Expense,Internet,Pénztárca,Cleared,"Get 0.00",0.00,0.00
2012-02-21,Tesco,HUF,"+ 845.00",Expense,Grocery,Pénztárca,Cleared,"Get 0.00",0.00,0.00
2012-02-21,Gyolóstoll,HUF,"+ 400.00",Expense,University,Pénztárca,Cleared,"Get 0.00",0.00,0.00
2012-02-19,"To wallet",HUF,"+ 60,000.00",Transfer,"To wallet","Kézpénz -> Pénztárca",Cleared,"Get 0.00",0.00,0.00
2012-02-19,Tesco,HUF,"+ 5,125.00",Expense,Grocery,Pénztárca,Cleared,"Get 0.00",0.00,0.00
2012-02-19,Gyógyszertár,HUF,"+ 1,185.00",Expense,Pharmacy,Pénztárca,Cleared,"Get 0.00",0.00,0.00
2012-02-19,Kisbolt,HUF,"+ 2,130.00",Expense,Grocery,Pénztárca,Cleared,"Get 0.00",0.00,0.00
2012-02-19,Kaja,HUF,"+ 4,820.00",Expense,Food,Pénztárca,Cleared,"Get 0.00",0.00,0.00
2012-02-18,"KFC - Vacsora",HUF,"+ 1,700.00",Expense,Dinner,Pénztárca,Cleared,"Get 0.00",0.00,0.00
2012-02-16,"Ebéd - Gyros",HUF,"+ 1,020.00",Expense,Lunch,Pénztárca,Cleared,"Get 0.00",0.00,0.00
2012-02-16,Kisbolt,HUF,"+ 190.00",Expense,Grocery,Pénztárca,Cleared,"Get 0.00",0.00,0.00
2012-02-15,Fodrász,HUF,"+ 2,000.00",Expense,Hair,Pénztárca,Cleared,"Get 0.00",0.00,0.00
2012-02-14,Kisbolt,HUF,"+ 395.00",Expense,Grocery,Pénztárca,Cleared,"Get 0.00",0.00,0.00
2012-02-14,Kisbolt,HUF,"+ 920.00",Expense,Grocery,Pénztárca,Cleared,"Get 0.00",0.00,0.00
2012-02-14,"Vacsora - McDonalds",HUF,"+ 1,510.00",Expense,Dinner,Pénztárca,Cleared,"Get 0.00",0.00,0.00
2012-02-13,"Vacsora - KFC",HUF,"+ 1,100.00",Expense,Dinner,Pénztárca,Cleared,"Get 0.00",0.00,0.00
2012-02-13,"BKV Bérlet",HUF,"+ 3,850.00",Expense,"Public Transport",Pénztárca,Cleared,"Get 0.00",0.00,0.00
2012-02-12,"Tusfürdő, spray",HUF,"+ 1,390.00",Expense,"Personal Care",Pénztárca,Cleared,"Get 0.00",0.00,0.00
2012-02-12,Tesco,HUF,"+ 4,950.00",Expense,Grocery,Pénztárca,Cleared,"Get 0.00",0.00,0.00
2012-02-10,Kisbolt,HUF,"+ 360.00",Expense,Grocery,Pénztárca,Cleared,"Get 0.00",0.00,0.00
2012-02-10,"To OTP",HUF,"+ 1,065.00",Transfer,"To OTP","Pénztárca -> OTP",Cleared,"Get 0.00",0.00,0.00
2012-02-09,"Reggeli - Pékség",HUF,"+ 415.00",Expense,Breakfast,Pénztárca,Cleared,"Get 0.00",0.00,0.00
2012-02-08,"Reggeli - Pékség",HUF,"+ 200.00",Expense,Breakfast,Pénztárca,Cleared,"Get 0.00",0.00,0.00
2012-02-08,"To wallet",HUF,"+ 30,000.00",Transfer,"To wallet","Kézpénz -> Pénztárca",Cleared,"Get 0.00",0.00,0.00
2012-02-08,"Ebéd - KFC",HUF,"+ 1,130.00",Expense,Lunch,Pénztárca,Cleared,"Get 0.00",0.00,0.00
2012-02-08,"Közös költség",HUF,"+ 14,500.00",Expense,"Community fee",Pénztárca,Cleared,"Get 0.00",0.00,0.00
2012-02-08,Díjbeszedő,HUF,"+ 6,145.00",Expense,"Water fee",Pénztárca,Cleared,"Get 0.00",0.00,0.00
2012-02-07,"Vacsora - Kisbolt",HUF,"+ 1,385.00",Expense,Dinner,Pénztárca,Cleared,"Get 0.00",0.00,0.00
2012-02-07,"Reggeli - Pékség",HUF,"+ 300.00",Expense,Breakfast,Pénztárca,Cleared,"Get 0.00",0.00,0.00
2012-02-06,"Reggeli - Pékség",HUF,"+ 300.00",Expense,Breakfast,Pénztárca,Cleared,"Get 0.00",0.00,0.00
2012-02-05,"To savings",HUF,"+ 50,000.00",Transfer,"To savings","Kézpénz -> Megtakarítás",Cleared,"Get 0.00",0.00,0.00
2012-02-05,"Randi VIP",HUF,"+ 1,000.00",Expense,"Web & IT",OTP,Cleared,"Get 0.00",0.00,0.00
2012-02-05,"To savings",HUF,"+ 20,000.00",Transfer,"To savings","Kézpénz -> Megtakarítás",Cleared,"Get 0.00",0.00,0.00
2012-02-05,Lakbér,HUF,"+ 55,000.00",Expense,Rent,Pénztárca,Cleared,"Get 0.00",0.00,0.00
2012-02-05,"To wallet",HUF,"+ 50,000.00",Transfer,"To wallet","Kézpénz -> Pénztárca",Cleared,"Get 0.00",0.00,0.00
2012-02-05,"To wallet",HUF,"+ 10,000.00",Transfer,"To wallet","Kézpénz -> Pénztárca",Cleared,"Get 0.00",0.00,0.00
2012-02-05,Kisbolt,HUF,"+ 2,180.00",Expense,Grocery,Pénztárca,Cleared,"Get 0.00",0.00,0.00
2012-02-05,Fizetés,HUF,"+ 205,000.00",Income,Sallary,Kézpénz,Cleared,"Get 0.00",0.00,0.00
2012-02-04,"Vacsora - Pizza",HUF,"+ 1,400.00",Expense,Dinner,Pénztárca,Cleared,"Get 0.00",0.00,0.00
2012-02-02,"Ebéd (Gerinek is..)",HUF,"+ 1,850.00",Expense,Lunch,Pénztárca,Cleared,"Get 0.00",0.00,0.00
2012-02-02,Tesco,HUF,"+ 2,605.00",Expense,Grocery,Pénztárca,Cleared,"Get 0.00",0.00,0.00
2012-02-01,"Reggeli - Pékség",HUF,"+ 300.00",Expense,Breakfast,Pénztárca,Cleared,"Get 0.00",0.00,0.00
2012-01-31,Balance,HUF,"+ 9,835.00",Expense,Balance,Pénztárca,Cleared,"Get 0.00",0.00,0.00
2012-01-31,Neocitran,HUF,"+ 1,790.00",Expense,Pharmacy,Pénztárca,Cleared,"Get 0.00",0.00,0.00
2012-01-31,"Reggeli - Pékség",HUF,"+ 495.00",Expense,Breakfast,Pénztárca,Cleared,"Get 0.00",0.00,0.00
2012-01-30,"Vacsora - Kisbolt",HUF,"+ 250.00",Expense,Dinner,Pénztárca,Cleared,"Get 0.00",0.00,0.00
2012-01-30,"Ebéd - Star Kebab",HUF,"+ 1,000.00",Expense,Lunch,Pénztárca,Cleared,"Get 0.00",0.00,0.00
2012-01-30,Villanyszámla,HUF,"+ 4,830.00",Expense,Electricity,Pénztárca,Cleared,"Get 0.00",0.00,0.00
2012-01-29,"Transfer From: Credit Card",HUF,"+ 4,160.00",Transfer,"To Paypal","OTP -> Paypal",Cleared,"Get 0.00",0.00,0.00
2012-01-29,Tesco,HUF,"+ 3,220.00",Expense,Grocery,Pénztárca,Cleared,"Get 0.00",0.00,0.00
2012-01-29,"Tusfürdő, fogkrém",HUF,"+ 970.00",Expense,"Personal Care",Pénztárca,Cleared,"Get 0.00",0.00,0.00
2012-01-29,"Payment To: Habostorta Kft.",HUF,"+ 4,160.00",Expense,"Web & IT",Paypal,Cleared,"Get 0.00",0.00,0.00
2012-01-28,"Vacsora - Avanti",HUF,"+ 1,300.00",Expense,Dinner,Pénztárca,Cleared,"Get 0.00",0.00,0.00
2012-01-28,"Vacsora - Pizza",HUF,"+ 1,400.00",Expense,Dinner,Pénztárca,Cleared,"Get 0.00",0.00,0.00
2012-01-27,Gyógyszerek,HUF,"+ 2,530.00",Expense,Pharmacy,Pénztárca,Cleared,"Get 0.00",0.00,0.00
2012-01-26,"Ebéd - Star Kebab",HUF,"+ 1,100.00",Expense,Lunch,Pénztárca,Cleared,"Get 0.00",0.00,0.00
2012-01-26,"Reggeli - Pékség",HUF,"+ 395.00",Expense,Breakfast,Pénztárca,Cleared,"Get 0.00",0.00,0.00
2012-01-26,"Vacsora - Pizza",HUF,"+ 1,400.00",Expense,Dinner,Pénztárca,Cleared,"Get 0.00",0.00,0.00
2012-01-25,"Transfer From: Credit Card",HUF,"+ 1,413.00",Transfer,"To Paypal","OTP -> Paypal",Cleared,"Get 0.00",0.00,0.00
2012-01-25,"To Wallet",HUF,"+ 30,000.00",Transfer,"To wallet","Kézpénz -> Pénztárca",Cleared,"Get 0.00",0.00,0.00
2012-01-25,"To OTP",HUF,"+ 5,000.00",Transfer,"To OTP","Pénztárca -> OTP",Cleared,"Get 0.00",0.00,0.00
2012-01-25,"Ebéd - KFC",HUF,"+ 1,100.00",Expense,Lunch,Pénztárca,Cleared,"Get 0.00",0.00,0.00
2012-01-25,Kisbolt,HUF,"+ 1,195.00",Expense,Grocery,Pénztárca,Cleared,"Get 0.00",0.00,0.00
2012-01-25,"Reggeli - Pékség",HUF,"+ 200.00",Expense,Breakfast,Pénztárca,Cleared,"Get 0.00",0.00,0.00
2012-01-25,"Currency Conversion (Debit) From Hungarian Forint: To U.S. Dollar",HUF,"+ 1,413.00",Expense,"Web & IT,Hungarian,Buxfer",Paypal,Cleared,"Get 0.00",0.00,0.00
2012-01-25,Internet,HUF,"+ 6,475.00",Expense,Internet,Pénztárca,Cleared,"Get 0.00",0.00,0.00
2012-01-25,Közöskötség,HUF,"+ 13,000.00",Expense,"Community fee",Pénztárca,Cleared,"Get 0.00",0.00,0.00
2012-01-24,"Reggeli - Pékség",HUF,"+ 370.00",Expense,Breakfast,Pénztárca,Cleared,"Get 0.00",0.00,0.00
2012-01-23,"Netptun pótvizsga",HUF,"+ 2,000.00",Expense,University,OTP,Cleared,"Get 0.00",0.00,0.00
2012-01-23,"From Savings",HUF,"+ 20,000.00",Transfer,"From savings","Megtakarítás -> Pénztárca",Cleared,"Get 0.00",0.00,0.00
2012-01-23,"Reggeli - Pékség",HUF,"+ 295.00",Expense,Breakfast,Pénztárca,Cleared,"Get 0.00",0.00,0.00
2012-01-23,"Vacsora - Pizza",HUF,"+ 1,400.00",Expense,Dinner,Pénztárca,Cleared,"Get 0.00",0.00,0.00
2012-01-21,Fenivir,HUF,"+ 1,140.00",Expense,Pharmacy,Pénztárca,Cleared,"Get 0.00",0.00,0.00
2012-01-21,Tesco,HUF,"+ 5,170.00",Expense,Grocery,Pénztárca,Cleared,"Get 0.00",0.00,0.00
2012-01-21,Spray,HUF,"+ 810.00",Expense,"Personal Care",Pénztárca,Cleared,"Get 0.00",0.00,0.00
2012-01-20,"Eseti költségek",HUF,"+ 204.00",Expense,"Financial Services",OTP,Cleared,"Get 0.00",0.00,0.00
2012-01-20,"Vacsora - Pizza",HUF,"+ 1,400.00",Expense,Dinner,Pénztárca,Cleared,"Get 0.00",0.00,0.00
2012-01-20,"Reggeli - Pékség",HUF,"+ 220.00",Expense,Breakfast,Pénztárca,Cleared,"Get 0.00",0.00,0.00
2012-01-19,"Vacsora - Pizza",HUF,"+ 1,500.00",Expense,Dinner,Pénztárca,Cleared,"Get 0.00",0.00,0.00
2012-01-19,"Ebéd - Star Kebab",HUF,"+ 1,450.00",Expense,Lunch,Pénztárca,Cleared,"Get 0.00",0.00,0.00
2012-01-19,"Reggeli - Pékség",HUF,"+ 200.00",Expense,Breakfast,Pénztárca,Cleared,"Get 0.00",0.00,0.00
2012-01-18,"Vacsora - Pizza",HUF,"+ 1,400.00",Expense,Dinner,Pénztárca,Cleared,"Get 0.00",0.00,0.00
2012-01-18,"Iwebs Office - Szemeteszsák",HUF,"+ 560.00",Expense,"Iwebs Office",Pénztárca,Cleared,"Get 0.00",0.00,0.00
2012-01-18,Tesco,HUF,"+ 160.00",Expense,Grocery,Pénztárca,Cleared,"Get 0.00",0.00,0.00
2012-01-18,Sapka,HUF,"+ 1,800.00",Expense,Clothing,Pénztárca,Cleared,"Get 0.00",0.00,0.00
2012-01-18,"Ebéd - Don Pepe",HUF,"+ 735.00",Expense,Lunch,Pénztárca,Cleared,"Get 0.00",0.00,0.00
2012-01-18,"Reggeli - Pékség",HUF,"+ 200.00",Expense,Breakfast,Pénztárca,Cleared,"Get 0.00",0.00,0.00
2012-01-17,"Vacsora - Kisbolt",HUF,"+ 345.00",Expense,Dinner,Pénztárca,Cleared,"Get 0.00",0.00,0.00
2012-01-17,"Ebéd - Avanti",HUF,"+ 1,300.00",Expense,Lunch,Pénztárca,Cleared,"Get 0.00",0.00,0.00
2012-01-17,"Reggeli - Pékség",HUF,"+ 360.00",Expense,Breakfast,Pénztárca,Cleared,"Get 0.00",0.00,0.00
2012-01-16,"Vacsora - KFC",HUF,"+ 100.00",Expense,Dinner,Pénztárca,Cleared,"Get 0.00",0.00,0.00
2012-01-16,"To wallet",HUF,"+ 30,000.00",Transfer,"To wallet","Kézpénz -> Pénztárca",Cleared,"Get 0.00",0.00,0.00
2012-01-16,"Ebéd - Don Pepe",HUF,"+ 820.00",Expense,Lunch,Pénztárca,Cleared,"Get 0.00",0.00,0.00
2012-01-15,Kisbolt,HUF,"+ 2,330.00",Expense,Grocery,Pénztárca,Cleared,"Get 0.00",0.00,0.00
2012-01-14,"Vacsora - Pizza",HUF,"+ 1,000.00",Expense,Dinner,Pénztárca,Cleared,"Get 0.00",0.00,0.00
2012-01-13,Vodafone,HUF,"+ 3,000.00",Expense,Phone,OTP,Cleared,"Get 0.00",0.00,0.00
2012-01-13,"Vacsora - Pizza",HUF,"+ 1,500.00",Expense,Dinner,Pénztárca,Cleared,"Get 0.00",0.00,0.00
2012-01-13,"Reggeli - Pékség",HUF,"+ 200.00",Expense,Breakfast,Pénztárca,Cleared,"Get 0.00",0.00,0.00
2012-01-12,Tesco,HUF,"+ 1,265.00",Expense,Grocery,Pénztárca,Cleared,"Get 0.00",0.00,0.00
2012-01-12,"Borotva szett",HUF,"+ 3,015.00",Expense,"Personal Care",Pénztárca,Cleared,"Get 0.00",0.00,0.00
2012-01-12,Sik,HUF,"+ 1,605.00",Expense,"Personal Care",Pénztárca,Cleared,"Get 0.00",0.00,0.00
2012-01-12,Pároló,HUF,"+ 4,990.00",Expense,Electronics,Pénztárca,Cleared,"Get 0.00",0.00,0.00
2012-01-12,"To wallet",HUF,"+ 20,000.00",Transfer,"To wallet","Kézpénz -> Pénztárca",Cleared,"Get 0.00",0.00,0.00
2012-01-12,"Iwebs office (cukor, tej)",HUF,"+ 345.00",Expense,"Iwebs Office",Pénztárca,Cleared,"Get 0.00",0.00,0.00
2012-01-12,"Ebéd - Don Pepe",HUF,"+ 1,200.00",Expense,Lunch,Pénztárca,Cleared,"Get 0.00",0.00,0.00
2012-01-12,"Reggeli - Pékség",HUF,"+ 200.00",Expense,Breakfast,Pénztárca,Cleared,"Get 0.00",0.00,0.00
2012-01-11,"Ebéd - KFC",HUF,"+ 1,300.00",Expense,Lunch,Pénztárca,Cleared,"Get 0.00",0.00,0.00
2012-01-11,"Matekjegyzet nyomtatás",HUF,"+ 870.00",Expense,University,Pénztárca,Cleared,"Get 0.00",0.00,0.00
2012-01-11,"Reggeli - Pékség",HUF,"+ 200.00",Expense,Breakfast,Pénztárca,Cleared,"Get 0.00",0.00,0.00
2012-01-10,"Vacsora - Kisbolt",HUF,"+ 405.00",Expense,Dinner,Pénztárca,Cleared,"Get 0.00",0.00,0.00
2012-01-10,"Zolinak nasiért",HUF,"+ 500.00",Expense,Grocery,Pénztárca,Cleared,"Get 0.00",0.00,0.00
2012-01-09,"Ebéd - Don Pepe",HUF,"+ 1,120.00",Expense,Lunch,Pénztárca,Cleared,"Get 0.00",0.00,0.00
2012-01-09,Tesco,HUF,"+ 4,345.00",Expense,Grocery,Pénztárca,Cleared,"Get 0.00",0.00,0.00
2012-01-09,"Rheumon gél",HUF,"+ 1,050.00",Expense,Pharmacy,Pénztárca,Cleared,"Get 0.00",0.00,0.00
2012-01-08,"Vacsora - Pizza",HUF,"+ 1,500.00",Expense,Dinner,Pénztárca,Cleared,"Get 0.00",0.00,0.00
2012-01-08,"Ebéd - Avanti",HUF,"+ 1,300.00",Expense,Lunch,Pénztárca,Cleared,"Get 0.00",0.00,0.00
2012-01-08,"To wallet",HUF,"+ 10,000.00",Transfer,"To wallet","Kézpénz -> Pénztárca",Cleared,"Get 0.00",0.00,0.00
2012-01-08,Ruhatár,HUF,"+ 200.00",Expense,Party,Pénztárca,Cleared,"Get 0.00",0.00,0.00
2012-01-08,Koktél,HUF,"+ 2,000.00",Expense,Party,Pénztárca,Cleared,"Get 0.00",0.00,0.00
2012-01-07,Beugró,HUF,"+ 1,500.00",Expense,Party,Pénztárca,Cleared,"Get 0.00",0.00,0.00
2012-01-07,Whiskey,HUF,"+ 1,000.00",Expense,Party,Pénztárca,Cleared,"Get 0.00",0.00,0.00
2012-01-07,Taxi,HUF,"+ 2,800.00",Expense,Taxi,Pénztárca,Cleared,"Get 0.00",0.00,0.00
2012-01-07,"To wallet",HUF,"+ 5,000.00",Transfer,"To wallet","Kézpénz -> Pénztárca",Cleared,"Get 0.00",0.00,0.00
2012-01-07,"Vacsora - Pizza",HUF,"+ 1,400.00",Expense,Dinner,Pénztárca,Cleared,"Get 0.00",0.00,0.00
2012-01-07,Lakbér,HUF,"+ 55,000.00",Expense,Rent,Kézpénz,Cleared,"Get 0.00",0.00,0.00
2012-01-06,"Vacsora - Avanti",HUF,"+ 1,300.00",Expense,Dinner,Pénztárca,Cleared,"Get 0.00",0.00,0.00
2012-01-06,"Vacsora - Kisbolt",HUF,"+ 525.00",Expense,Dinner,Pénztárca,Cleared,"Get 0.00",0.00,0.00
2012-01-06,"Kávé suliban",HUF,"+ 70.00",Expense,Cafe,Pénztárca,Cleared,"Get 0.00",0.00,0.00
2012-01-06,"Ebéd - Don Pepe",HUF,"+ 680.00",Expense,Lunch,Pénztárca,Cleared,"Get 0.00",0.00,0.00
2012-01-06,"Reggeli - Metrós pékség",HUF,"+ 660.00",Expense,Breakfast,Pénztárca,Cleared,"Get 0.00",0.00,0.00
2012-01-05,"Vacsora - Avanti",HUF,"+ 1,300.00",Expense,Dinner,Pénztárca,Cleared,"Get 0.00",0.00,0.00
2012-01-05,"Reggeli - Pékség",HUF,"+ 405.00",Expense,Breakfast,Pénztárca,Cleared,"Get 0.00",0.00,0.00
2012-01-05,"To wallet",HUF,"+ 20,000.00",Transfer,"To wallet","Kézpénz -> Pénztárca",Cleared,"Get 0.00",0.00,0.00
2012-01-05,"BKV Bérlet",HUF,"+ 3,850.00",Expense,"Public Transport",Pénztárca,Cleared,"Get 0.00",0.00,0.00
2012-01-05,"Kifizetetlen szabadság",HUF,"+ 27,600.00",Income,"Unpaid Holiday",Kézpénz,Cleared,"Get 0.00",0.00,0.00
2012-01-05,Fizetés,HUF,"+ 192,400.00",Income,Sallary,Kézpénz,Cleared,"Get 0.00",0.00,0.00
2012-01-05,"To savings",HUF,"+ 50,000.00",Transfer,"To savings","Kézpénz -> Megtakarítás",Cleared,"Get 0.00",0.00,0.00
2012-01-04,"Vacsora - Pizza",HUF,"+ 1,350.00",Expense,Dinner,Pénztárca,Cleared,"Get 0.00",0.00,0.00
2012-01-04,"Vacsora - Kínai",HUF,"+ 680.00",Expense,"Dinner,Chinese food",Pénztárca,Cleared,"Get 0.00",0.00,0.00
2012-01-04,"Ebéd - Don Pepe",HUF,"+ 1,220.00",Expense,Lunch,Pénztárca,Cleared,"Get 0.00",0.00,0.00
